sensor,coefficient
59,2.059997732584333
132,-1.595958745640109
216,1.5814695399006728
425,1.4599459609810792
124,-1.3457202627120406
56,1.3436225820044545
61,1.3064003103124149
25,1.1740450433883707
563,-1.171978867352325
277,1.1600049491613416
415,-1.146900653977446
168,1.1339072591556436
129,1.1279635624022237
305,-1.105671693882759
75,1.10550898095167
41,-1.0700610180083159
205,1.05325013933511
354,-1.0487779496016327
30,-1.027871835515544
214,-1.0084289921547185
188,0.9933504265133098
94,-0.988901159349109
310,0.9887157997105935
40,-0.9792691360264254
78,-0.9647718187322538
577,-0.9242142541003632
573,-0.9194080625049392
332,-0.8932082176775924
113,0.8918849894269892
488,-0.8863114763037804
438,-0.8855410724677311
388,0.8840302798814775
67,-0.8810151325882297
14,-0.878489951624296
64,0.8781591896211621
146,-0.8697177555026099
142,-0.8681399293731922
107,0.8633286209505793
249,0.8614713079298768
365,0.8549656980154845
333,0.8409499457418399
26,-0.8394806284805113
406,0.8120361715091535
387,0.810405685207314
500,0.7970212454259105
493,-0.7952014316105086
164,-0.782189453191251
221,-0.7635484058893806
340,-0.7620540487693177
471,0.7620346276560485
566,-0.7601742790454432
301,0.759584603966012
348,0.7485528343221363
547,0.7464976889634786
316,-0.7426410613982656
349,0.7394300269531618
204,-0.7284308232912041
567,0.7280023799877623
17,0.7229912590420955
22,-0.713236788101963
66,0.7016482881088373
21,0.6858720679471195
117,-0.6817455470259707
271,0.6634639778044474
46,0.6562284376655549
363,-0.6507696446953045
133,0.6506513515975281
162,-0.6506215589673381
20,0.6481786564577149
299,-0.6471152045888624
197,0.6462652295195368
95,0.6435926411482127
29,0.6431350963496233
499,-0.6418991856583185
100,0.6410230247567397
60,0.6358043096960546
366,-0.6349527002048242
131,0.6309160736059534
477,0.6253410533807244
115,-0.6154700669098928
119,-0.6143009287958631
138,0.6138556428018811
368,-0.605801771539616
215,-0.5955144926609451
35,-0.5927103116105739
104,-0.5920191346280558
93,-0.5828702621939469
576,0.5794837428276771
386,-0.5767886265219255
28,-0.5711524792600394
251,-0.5692587621598189
562,-0.5680343108205224
520,-0.5653770874603452
31,0.5635750357735159
248,-0.5605128791884765
45,0.5584522380304602
280,-0.5567828021563581
523,-0.5561251860070934
27,0.5557878847102229
155,-0.5547560807794787
389,-0.5442630294189762
201,0.5389582461699426
175,-0.5387953043154292
68,-0.5387382907616346
446,-0.5381581066107981
361,0.532045623061548
126,0.5308815754628096
122,-0.5290222562256699
86,0.5285200693385449
491,0.5250517668623014
48,-0.524261668989993
391,0.5232634147484531
62,-0.521630454618819
289,-0.520241415308402
548,-0.5198242130625843
151,-0.5164529775929625
282,0.5100581597896265
454,-0.5062054241073484
302,0.5057283243125791
196,-0.501795802957821
486,0.5014940358739738
303,-0.5012827756079475
121,0.4986570767175508
555,-0.4965477912005042
89,0.4890448777578579
511,0.48425718895857545
476,-0.48310374852748933
53,-0.4819972569028009
469,0.48047523558524424
65,-0.4753018829493471
283,-0.4748895458498412
270,-0.47191968790575695
557,0.4704555149280774
428,-0.4693022523295431
574,-0.4683993647401502
418,-0.46627207249903835
541,0.46584551616280945
10,-0.4649788041782073
44,0.4647339663631455
134,-0.46429667086684634
448,-0.46401489857415246
433,0.46365107902346686
295,0.46182956581397777
344,-0.460516856738803
359,0.45997845392824527
161,-0.4546707656834524
71,0.4542931187437461
57,-0.45354145956328007
588,0.45275220520595855
